epoch,gpu_mem,train/box_loss,train/obj_loss,train/cls_loss,train/total_loss,labels,img_size,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.75,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss
0, 4.64G,0.1081,0.02588,0.02573,0.1597,84,640,  0.0003865,     0.1106,  0.0001113,          0,  2.151e-05,    0.09183,    0.02394,    0.02223
1, 12.8G,0.09705,0.02637,0.0233,0.1467,82,640,          0,          0,          0,          0,          0,    0.09074,    0.02435,    0.02311
2, 12.8G,0.09041,0.02686,0.02156,0.1388,81,640,          0,          0,          0,          0,          0,    0.09264,    0.02349,    0.02625
3, 13.5G,0.08241,0.02742,0.02155,0.1314,76,640,          0,          0,          0,          0,          0,    0.09536,    0.02245,    0.03309
4, 13.5G,0.07742,0.02398,0.02074,0.1221,75,640,          0,          0,          0,          0,          0,     0.1012,    0.02065,    0.03622
5, 13.5G,0.07266,0.01976,0.01891,0.1113,87,640,          0,          0,          0,          0,          0,     0.1128,    0.01819,    0.07398
6, 13.5G,0.06995,0.01594,0.01818,0.1041,60,640,    0.00972,    0.01442,  0.0002523,          0,  6.118e-05,     0.1081,     0.0243,    0.06853
7, 13.5G,0.06542,0.01494,0.01405,0.09441,92,640,          0,          0,          0,          0,          0,     0.1212,    0.03542,    0.08424
8, 13.5G,0.0637,0.01484,0.00982,0.08836,96,640,    0.08613,    0.02885,    0.01386,  1.601e-05,   0.003091,    0.08858,     0.0238,    0.04232
9, 13.5G,0.06494,0.0143,0.007152,0.08639,70,640,   0.003249,    0.01923,  0.0003074,  3.071e-06,  5.156e-05,     0.1136,    0.01881,     0.1016
10, 13.5G,0.06427,0.01447,0.005305,0.08405,84,640,    0.05283,     0.2587,    0.04012,   0.003711,    0.01298,    0.08558,     0.0188,    0.02261
11, 13.5G,0.06065,0.01417,0.0038,0.07862,65,640,     0.2755,     0.5241,      0.208,    0.03537,    0.06533,    0.07193,    0.03013,    0.02431
12, 13.5G,0.05913,0.01405,0.003639,0.07682,85,640,     0.2605,       0.53,     0.2046,   0.006592,    0.05038,     0.0854,    0.03831,    0.01716
13, 13.5G,0.05965,0.01421,0.003603,0.07746,95,640,   0.007798,    0.02404,  0.0008835,  1.577e-06,  0.0001681,     0.1169,     0.0646,    0.09341
14, 13.5G,0.05607,0.01407,0.003327,0.07347,75,640,     0.4581,     0.4402,     0.3806,    0.03023,     0.1156,    0.08503,    0.01322,   0.004094
15, 13.5G,0.05563,0.01374,0.00225,0.07162,91,640,    0.04096,     0.5062,    0.03021,   0.003217,   0.009364,     0.1041,    0.02856,    0.01061
16, 13.5G,0.05561,0.01337,0.002198,0.07118,68,640,     0.5557,     0.6211,      0.494,     0.2232,     0.2298,    0.06731,    0.01417,    0.01405
17, 13.5G,0.05497,0.01394,0.002075,0.07098,90,640,     0.7629,     0.6781,      0.705,    0.03023,     0.1745,    0.06221,    0.02767,   0.005311
18, 13.5G,0.05511,0.01318,0.001859,0.07015,66,640,     0.6709,     0.7163,     0.6251,     0.3824,     0.3219,     0.0652,    0.01302,    0.01185
19, 13.5G,0.05322,0.01335,0.001543,0.06811,82,640,     0.7338,     0.7817,     0.7656,    0.09507,     0.2955,    0.05417,    0.01266,   0.002714
20, 13.5G,0.05251,0.01357,0.001638,0.06771,83,640,     0.2413,     0.4986,      0.231,    0.03084,    0.06747,    0.05892,    0.01246,    0.02807
21, 13.5G,0.05417,0.01273,0.001699,0.06859,72,640,     0.2357,     0.6275,      0.358,    0.07266,     0.1273,    0.06619,    0.01657,    0.02892
22, 13.5G,0.05122,0.01317,0.00202,0.06641,86,640,     0.4618,     0.4824,     0.3761,    0.00857,     0.1099,    0.08445,    0.01585,  0.0003251
23, 13.5G,0.05398,0.01273,0.001541,0.06826,79,640,      0.535,     0.6078,     0.4283,       0.18,     0.2051,    0.07455,    0.02257,   0.006691
24, 13.5G,0.0508,0.01315,0.001976,0.06593,87,640,     0.6283,     0.6299,     0.5838,    0.08657,     0.2103,    0.08855,    0.01908,    0.00558
25, 13.5G,0.05048,0.01316,0.001028,0.06467,85,640,     0.5129,     0.6462,     0.5307,     0.0404,     0.1608,    0.05335,    0.01181,    0.02162
26, 13.5G,0.05144,0.01298,0.001374,0.0658,61,640,     0.7602,     0.7452,     0.8191,     0.2522,     0.3485,     0.0505,    0.01278,   0.002466
27, 13.5G,0.04915,0.01331,0.002063,0.06452,72,640,     0.7194,     0.1058,    0.08288,   0.005182,    0.01889,    0.07804,    0.02223,    0.02849
28, 13.5G,0.0505,0.01232,0.001517,0.06434,78,640,     0.1232,     0.5556,     0.1138,   0.004646,    0.02965,    0.07518,    0.01575,   0.005573
29, 13.5G,0.05022,0.01292,0.001476,0.06462,96,640,     0.8152,     0.7984,     0.8174,     0.3551,     0.3967,    0.05354,    0.01367,   0.007384
30, 13.5G,0.04788,0.01274,0.001435,0.06205,92,640,     0.5221,     0.2763,     0.3401,    0.01633,     0.1017,      0.103,    0.02533,    0.01159
31, 13.5G,0.04802,0.01236,0.001374,0.06175,85,640,     0.8149,     0.8293,     0.8138,     0.3048,     0.3815,    0.05157,    0.02922,  0.0008435
32, 13.5G,0.04994,0.01236,0.001642,0.06394,70,640,     0.7061,      0.755,     0.7296,     0.3394,     0.3578,    0.05156,     0.0135,   0.005399
33, 13.5G,0.04697,0.01263,0.001294,0.06089,81,640,     0.2285,     0.2429,     0.1788,    0.08903,    0.08956,    0.09224,    0.01923,    0.04657
34, 13.5G,0.04682,0.01245,0.001684,0.06096,73,640,     0.7423,     0.7067,      0.673,     0.2457,     0.3281,    0.06643,    0.01672,    0.01215
35, 13.5G,0.04537,0.01211,0.001682,0.05916,96,640,     0.6089,     0.7507,     0.5812,     0.1032,     0.2054,    0.05161,     0.0116,   0.009769
36, 13.5G,0.0458,0.01268,0.001569,0.06005,95,640,     0.0333,     0.1813,    0.01196,   0.009057,   0.006432,     0.1233,     0.0289,      0.447
37, 13.5G,0.04883,0.01221,0.002164,0.0632,88,640,     0.3419,     0.3104,     0.1558,    0.01378,    0.04552,    0.09874,    0.01603,      1.145
38, 13.5G,0.04979,0.013,0.002566,0.06536,82,640,     0.5963,     0.5495,     0.4529,    0.04223,     0.1096,    0.06452,    0.02299,    0.06617
39, 13.5G,0.04811,0.01284,0.001778,0.06273,81,640,     0.7657,     0.7834,     0.7469,    0.02273,     0.1964,    0.06728,    0.03361,    0.01239
40, 13.5G,0.04887,0.01277,0.001504,0.06314,88,640,     0.2777,     0.3255,     0.1922,    0.03694,    0.06486,    0.05767,     0.0278,    0.06951
41, 13.5G,0.0459,0.01253,0.001479,0.05991,75,640,     0.2886,     0.4851,     0.3051,     0.0509,     0.1086,    0.04916,    0.01231,    0.02839
42, 13.5G,0.04621,0.01279,0.001517,0.06051,88,640,     0.7263,       0.75,     0.7125,      0.209,     0.3215,    0.04598,    0.01334,    0.02231
43, 13.5G,0.04598,0.0121,0.001236,0.05931,72,640,     0.8207,      0.851,     0.8514,     0.1635,      0.374,    0.04437,    0.01021,   0.006319
44, 13.5G,0.04391,0.01191,0.00119,0.05701,71,640,          0,          0,          0,          0,          0,     0.1266,    0.04591,     0.0814
45, 13.5G,0.04614,0.01233,0.001346,0.05982,82,640,     0.8163,     0.8844,     0.8291,     0.3622,     0.4045,    0.05218,    0.01106,  0.0008794
46, 13.5G,0.04426,0.01186,0.001525,0.05764,85,640,     0.7575,     0.8077,     0.7494,     0.3132,     0.3445,    0.04639,    0.01072,   0.006621
47, 13.5G,0.04234,0.0116,0.001276,0.05522,73,640,     0.8753,     0.9135,     0.8944,     0.3703,     0.4542,    0.04806,     0.0108,  0.0003191
