epoch,gpu_mem,train/box_loss,train/obj_loss,train/cls_loss,train/total_loss,labels,img_size,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.75,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss
0, 4.64G,0.1078,0.02718,0.02707,0.162,91,640,  0.0004369,      0.125,  0.0001632,          0,  2.891e-05,    0.08886,    0.02465,    0.02277
1, 11.8G,0.09604,0.02573,0.02312,0.1449,79,640,          0,          0,          0,          0,          0,    0.09041,    0.02444,    0.02329
2, 11.8G,0.08891,0.02741,0.02074,0.1371,70,640,          0,          0,          0,          0,          0,    0.09059,    0.02399,    0.02708
3, 11.8G,0.08107,0.0266,0.02094,0.1286,94,640,          0,          0,          0,          0,          0,    0.09309,    0.02307,    0.03142
4, 11.8G,0.07605,0.02332,0.01884,0.1182,79,640,          0,          0,          0,          0,          0,    0.09551,     0.0231,    0.04423
5, 11.8G,0.07011,0.01884,0.01632,0.1053,74,640,     0.5006,    0.01923,  0.0001109,          0,  2.007e-05,     0.1005,    0.02299,     0.0395
6, 11.8G,0.06725,0.01612,0.01205,0.09542,77,640,    0.05002,    0.03846,   0.006579,          0,  0.0008157,    0.09827,    0.02046,    0.03439
7, 11.8G,0.06911,0.01481,0.006777,0.0907,68,640,    0.03891,    0.03846,    0.00455,          0,  0.0008394,    0.09641,    0.01966,    0.02362
8, 11.8G,0.06538,0.01463,0.00496,0.08498,71,640,     0.2263,    0.08127,    0.03856,    0.02253,    0.01956,     0.1065,    0.02216,     0.0194
9, 11.8G,0.06209,0.01431,0.003858,0.08027,71,640,  0.0004138,    0.02404,  2.226e-05,          0,  5.303e-06,     0.1253,    0.02056,    0.03877
10, 11.8G,0.06423,0.01427,0.0034,0.0819,83,640,      0.473,     0.4578,     0.4445,    0.07146,     0.1461,      0.088,    0.01459,    0.01464
11, 11.8G,0.06105,0.01426,0.003077,0.07839,96,640,     0.5966,     0.1538,    0.07034,  0.0002557,    0.01165,    0.08727,    0.06157,   0.002647
12, 11.8G,0.05791,0.01412,0.00252,0.07455,90,640,     0.3737,     0.8501,     0.4244,    0.04381,     0.1484,    0.06602,    0.01338,   0.001604
13, 11.8G,0.05877,0.01371,0.002401,0.07488,81,640,    0.09082,     0.1248,    0.04932,   0.002878,    0.01343,    0.09427,    0.02523,    0.02129
14, 11.8G,0.05849,0.01393,0.002263,0.07468,102,640,     0.6808,     0.8074,     0.6787,     0.1848,     0.2899,    0.06215,    0.01249,   0.005662
15, 11.8G,0.0576,0.01322,0.002062,0.07288,88,640,   0.005429,    0.01442,  0.0005587,  3.982e-05,  0.0001315,     0.1223,    0.05938,    0.01531
16, 11.8G,0.05583,0.01346,0.001909,0.0712,87,640,     0.5872,     0.8464,     0.6552,     0.1738,     0.2731,    0.06303,    0.01308,   0.006209
17, 11.8G,0.05701,0.01344,0.001835,0.07229,69,640,      0.655,     0.7802,     0.6853,     0.1515,     0.3019,    0.05796,    0.01098,   0.004929
