               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12313,            0.021509,            0.029952,          5.4756e-05,           0.0048077,          2.2419e-05,          1.1209e-05,            0.098396,           0.0099621,            0.024613,               7e-05,               7e-05,             0.09937
                   1,            0.095949,            0.017337,            0.023706,          0.00010441,           0.0096154,          5.3323e-05,          5.3323e-06,            0.098214,           0.0060434,            0.025596,             0.00015,             0.00015,             0.09865
                   2,            0.080076,            0.018677,             0.02292,                   0,                   0,                   0,                   0,             0.09294,           0.0075221,            0.021975,          0.00022998,          0.00022998,             0.09793
                   3,            0.071188,            0.020282,            0.020918,          0.00010734,            0.019231,          5.5759e-05,          6.9341e-06,            0.081222,           0.0092871,            0.021144,          0.00030993,          0.00030993,             0.09721
                   4,             0.06766,             0.02031,             0.02051,          0.00092686,            0.014423,          0.00013947,          2.0038e-05,            0.077718,            0.012014,            0.020222,          0.00038985,          0.00038985,             0.09649
                   5,            0.066271,            0.020236,            0.020891,                   0,                   0,                   0,                   0,             0.07499,            0.013382,            0.021001,          0.00046971,          0.00046971,             0.09577
                   6,            0.063979,            0.019213,            0.019392,             0.86585,            0.014423,            0.012698,           0.0018413,            0.068176,            0.015758,            0.018529,          0.00054951,          0.00054951,             0.09505
                   7,            0.059309,            0.018445,            0.019086,           0.0050006,             0.36058,           0.0046881,           0.0010277,            0.062155,            0.013262,            0.017427,          0.00062924,          0.00062924,            0.094329
                   8,            0.056768,            0.017004,            0.017919,            0.023225,            0.048077,             0.01008,           0.0023562,            0.059681,            0.013387,             0.02068,          0.00070888,          0.00070888,            0.093609
                   9,            0.054262,            0.015184,            0.020136,            0.099962,             0.34089,            0.080961,            0.018382,            0.055536,             0.01217,            0.017302,          0.00078842,          0.00078842,            0.092888
                  10,            0.054087,            0.014144,             0.01855,              0.2647,             0.25961,             0.26417,            0.073455,            0.055593,            0.009407,            0.018148,          0.00086786,          0.00086786,            0.092168
                  11,              0.0543,            0.012779,            0.015524,             0.22289,             0.25962,             0.20459,            0.050628,            0.049007,           0.0080728,            0.024162,          0.00094717,          0.00094717,            0.091447
                  12,             0.05305,            0.011909,            0.015165,             0.75458,             0.24038,             0.24879,            0.050025,            0.049314,           0.0096868,            0.029347,           0.0010263,           0.0010263,            0.090726
                  13,            0.050458,              0.0112,            0.013599,              0.1376,             0.69437,             0.22657,            0.052727,             0.05091,           0.0084351,            0.027827,           0.0011054,           0.0011054,            0.090005
                  14,            0.049806,             0.01174,            0.012577,             0.16013,             0.44071,             0.21158,            0.065998,            0.067226,           0.0096916,            0.024164,           0.0011843,           0.0011843,            0.089284
                  15,            0.050479,            0.011394,            0.010851,             0.24773,           0.0048077,           0.0017615,          0.00025061,              0.1031,              0.0141,            0.070707,            0.001263,            0.001263,            0.088563
                  16,            0.051099,            0.011245,            0.010224,                   0,                   0,                   0,                   0,             0.11039,            0.002827,            0.085105,           0.0013415,           0.0013415,            0.087841
                  17,            0.051763,            0.010741,            0.010373,               0.136,            0.096154,            0.055445,            0.011852,            0.098452,           0.0055689,            0.082604,           0.0014198,           0.0014198,             0.08712
