               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11158,            0.017869,            0.026316,                   0,                   0,                   0,                   0,            0.096847,           0.0048472,             0.03177,             0.00015,             0.00015,             0.09865
                   1,            0.088088,            0.016151,            0.022562,          7.1623e-05,           0.0048077,          1.8303e-05,          2.7606e-06,            0.089156,            0.012581,            0.026965,          0.00030972,          0.00030972,             0.09721
                   2,            0.080317,            0.017896,            0.021341,          2.0751e-05,           0.0048077,          1.0472e-05,          1.0472e-06,            0.084918,            0.016072,            0.019402,          0.00046833,          0.00046833,            0.095768
                   3,             0.07643,            0.017962,            0.017606,             0.59169,            0.028846,           0.0065133,           0.0015757,            0.084437,            0.012764,            0.017293,          0.00062498,          0.00062498,            0.094325
                   4,            0.073465,            0.017714,             0.01231,             0.52176,            0.028846,           0.0042761,          0.00086609,            0.082574,           0.0073552,            0.020519,          0.00077883,          0.00077883,            0.092879
                   5,             0.07259,            0.017362,           0.0077369,             0.58624,            0.028846,            0.011354,           0.0013107,            0.082553,           0.0068616,            0.026082,          0.00092908,          0.00092908,            0.091429
                   6,            0.070165,              0.0161,           0.0051086,            0.040662,            0.028846,           0.0084071,           0.0015796,             0.08242,           0.0068554,            0.019069,           0.0010749,           0.0010749,            0.089975
                   7,            0.068344,            0.014582,           0.0045675,            0.035795,             0.29625,            0.026662,           0.0044384,             0.08229,           0.0082258,            0.042056,           0.0012156,           0.0012156,            0.088516
                   8,            0.067918,            0.014139,           0.0039488,             0.07649,              0.2864,            0.053885,           0.0082103,            0.072109,           0.0093794,            0.020964,           0.0013504,           0.0013504,             0.08705
                   9,            0.064693,            0.014328,           0.0028874,              0.1607,             0.12935,            0.075579,            0.011933,            0.061357,           0.0090468,           0.0074446,           0.0014786,           0.0014786,            0.085579
                  10,            0.062907,            0.014495,           0.0019777,             0.13162,            0.076923,            0.052238,           0.0088733,            0.060738,            0.009023,            0.001042,           0.0015996,           0.0015996,              0.0841
                  11,            0.062988,            0.014012,           0.0017487,             0.12497,              0.1329,             0.05858,           0.0099859,            0.058344,           0.0097473,          0.00040367,           0.0017128,           0.0017128,            0.082613
                  12,             0.06349,            0.013341,           0.0024505,             0.11789,             0.25366,            0.088145,            0.018303,            0.060166,           0.0091914,           0.0018366,           0.0018175,           0.0018175,            0.081118
                  13,            0.061371,            0.013312,           0.0032833,            0.074475,             0.32005,            0.042804,           0.0068729,            0.066427,            0.010414,          0.00016756,           0.0019134,           0.0019134,            0.079613
                  14,             0.06208,             0.01355,           0.0018254,             0.11538,             0.22024,            0.064207,            0.013904,            0.051194,            0.021613,           0.0014173,               0.002,               0.002,              0.0781
                  15,            0.060941,            0.014124,            0.001663,            0.029711,             0.30586,            0.015942,           0.0021502,            0.072202,            0.013217,           0.0028232,            0.002077,            0.002077,            0.076577
                  16,            0.061129,            0.013408,           0.0021957,             0.14719,             0.21062,            0.087544,            0.012426,            0.060322,            0.021987,          0.00029288,           0.0021439,           0.0021439,            0.075044
                  17,            0.064182,            0.013104,           0.0015366,              0.1643,             0.39606,             0.15408,            0.022908,            0.053789,            0.014619,           0.0024087,           0.0022007,           0.0022007,            0.073501
                  18,            0.059712,            0.012905,           0.0017208,             0.15175,             0.18693,            0.085613,            0.019215,             0.04944,            0.013524,          0.00092998,           0.0022471,           0.0022471,            0.071947
                  19,            0.059808,            0.013215,           0.0015685,             0.13296,             0.13942,            0.074342,            0.017597,            0.055772,            0.011979,          0.00024889,           0.0022829,           0.0022829,            0.070383
                  20,            0.058624,            0.012943,           0.0016003,             0.13099,             0.41049,             0.11484,            0.022525,            0.056184,            0.010784,          0.00053426,           0.0023083,           0.0023083,            0.068808
                  21,             0.05781,            0.012527,            0.002914,             0.22899,             0.42491,             0.19754,            0.028886,            0.045041,            0.010222,          0.00098477,           0.0023233,           0.0023233,            0.067223
                  22,            0.057436,            0.012716,           0.0015569,             0.08186,             0.19528,            0.056632,           0.0086583,            0.066918,            0.008847,           0.0029206,            0.002328,            0.002328,            0.065628
                  23,            0.058283,            0.012448,           0.0014719,              0.1529,             0.25847,            0.085485,            0.015525,             0.05361,            0.015198,          0.00023374,           0.0023225,           0.0023225,            0.064023
