               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.105,            0.020405,            0.024039,          0.00011207,            0.028846,          5.1774e-05,          1.6831e-05,             0.13061,            0.022115,            0.017207,          0.00026629,          0.00026629,            0.081711
                   1,            0.089969,            0.017976,            0.022603,            0.028392,            0.033654,           0.0046525,          0.00075291,              0.1162,            0.012495,            0.018339,          0.00054116,          0.00054116,            0.079296
                   2,            0.076144,            0.015713,            0.022626,            0.034724,             0.11058,             0.01924,           0.0034235,             0.11073,            0.013325,            0.020087,          0.00081597,          0.00081597,            0.076881
                   3,            0.069715,            0.012952,            0.021628,              0.1378,             0.15731,             0.14582,            0.040118,            0.091909,            0.012001,            0.021893,           0.0010907,           0.0010907,            0.074466
                   4,            0.064071,            0.012601,            0.021068,             0.65513,             0.24038,              0.1668,            0.049238,            0.078218,            0.016185,            0.016636,           0.0013653,           0.0013653,            0.072051
                   5,            0.066542,             0.01243,            0.019815,             0.16113,             0.19231,             0.16598,            0.053703,            0.095538,            0.015698,            0.021356,           0.0016397,           0.0016397,            0.069636
                   6,            0.065088,            0.012727,            0.017509,             0.52662,            0.076923,           0.0095208,             0.00188,             0.10382,            0.014909,            0.019916,           0.0019139,           0.0019139,            0.067221
                   7,            0.063714,            0.012853,            0.017056,             0.17678,             0.22115,             0.11972,            0.028811,            0.081002,            0.014435,            0.020733,           0.0021878,           0.0021878,            0.064805
                   8,             0.06477,            0.013058,            0.014089,            0.065774,             0.45754,            0.078661,            0.016035,            0.090892,            0.010395,            0.032824,           0.0024614,           0.0024614,            0.062389
                   9,              0.0625,            0.012518,            0.013023,             0.17068,             0.25962,             0.15862,            0.046289,            0.072669,            0.011328,            0.016021,           0.0027347,           0.0027347,            0.059973
                  10,             0.06191,            0.012278,            0.011274,            0.039826,             0.13942,            0.016959,           0.0033239,             0.10932,            0.011922,             0.04246,           0.0030076,           0.0030076,            0.057556
                  11,            0.067254,            0.012574,            0.011322,             0.28873,             0.45078,             0.22466,            0.059334,            0.093877,            0.011995,            0.012841,           0.0032801,           0.0032801,            0.055139
                  12,            0.067258,            0.012384,            0.010416,             0.12485,             0.32005,            0.076498,            0.015747,            0.090858,           0.0099275,            0.035499,           0.0035522,           0.0035522,            0.052721
                  13,            0.064518,            0.012772,            0.010371,             0.09586,             0.20995,            0.088918,            0.019164,            0.086482,           0.0081986,            0.035324,           0.0038237,           0.0038237,            0.050303
                  14,            0.064852,            0.012242,           0.0093205,             0.27173,             0.43544,             0.28357,            0.092854,            0.070521,           0.0078996,            0.031634,           0.0040947,           0.0040947,            0.047885
                  15,            0.064152,            0.012237,            0.010009,             0.29892,             0.51946,             0.31233,             0.10272,            0.077608,           0.0077944,            0.023882,           0.0043651,           0.0043651,            0.045466
                  16,            0.061612,            0.011757,           0.0075288,             0.28704,              0.5585,             0.24246,            0.065284,            0.074876,           0.0075957,            0.019109,           0.0046349,           0.0046349,            0.043046
